"","Single-Threaded App Score","Architecture","Cores/Threads (P+E)","Base/Boost GHz","TDP / PBP / MTP"
"$620 - Core 9 285K CU-8200 | DDR5-7200","100% | 99.9%","Arrow Lake","24 / 24 (8+16)","3.7 / 5.7","125W / 250W"
"$380 - Core 7 265K CU-8200","97.3%","Arrow Lake","20 / 20 (8+12)","3.9 / 5.5","125W / 250W"
"$440 - Core i9-14900K","97.1%","Raptor Lake Refresh","24 / 32 (8+16)","3.2 / 6.0","125W / 253W"
"$600 - Ryzen 9 9950X","94.0%","Zen 5","16 / 32","4.3 / 5.7","170W / 230W"
"$320 - Core 5 245K CU-8200 | DDR5-7200","93.7% | 93.3%","Arrow Lake","14 / 14 (6+8)","4.2 / 5.2","125W / 250W"
"$380 - Ryzen 9 9900X","92.6%","Zen 5","12 / 24","4.4 / 5.6","120W / 162W"
"$440 - Core i7-14700K","91.4%","Raptor Lake Refresh","20 / 28","3.4 / 5.6","125W / 253W"
"$400 - Core i9-13900K","91.1%","Raptor Lake","24 / 32 (8+16)","3.0 / 5.8","125 / 253W"
"$250 - Ryzen 5 9600X","90.6%","Zen 5","6 / 12","3.9 / 5.4","65W / 88W"
"$320 - Ryzen 7 9700X","90.1%","Zen 5","8 /16","3.8 / 5.5","65W / 88W / 105W"
"$275 - Core i7-13700K","88.4%","Raptor Lake","16 / 24 (8+8)","3.4 / 5.4","125W / 253W"
"$480 - Ryzen 7 9800X3D","88.1%","Zen 5","8 / 16","4.7 / 5.2","120W / 162W"
"$235 - Core i5-14600K","87.0%","Raptor Lake Refresh","14 / 20","3.5 / 5.3","125W / 181W"
"$490 - Ryzen 9 7950X","86.2%","Zen 4","16 / 32","4.5 / 5.7","170W / 230W"
"$600 - Ryzen 9 7950X3D","86.1%","Zen 4","16 / 32","4.2 / 5.7","120W / 162W"
"$370 - Ryzen 9 7900X","85.8%","Zen 4","12 / 24","4.7 / 5.6","170 / 230W"
"$490 - Ryzen 9 7900X3D","84.6%","Zen 4","12 / 24","4.4 / 5.6","120W / 162W"
"$220 - Ryzen 5 7600X","84.2%","Zen 4","6 / 12","4.7 / 5.3","105 / 142W"
"$225 - Core i5-13600K","83.9%","Raptor Lake","14 / 20 (6+8)","3.5 / 5.1","125W / 181W"
"$300 - Ryzen 7 7700X","83.4%","Zen 4","8 / 16","4.5 / 5.4","105 / 142W"
"$280 - Core i9-12900K","81.5%","Alder Lake","16 / 24 (8+8)","3.2 / 5.2","125 / 241W"
"$209 - Core i7-12700K","81.2%","Alder Lake","12 / 20 (8+4)","3.6 / 5.0","125W / 190W"
"$150 - Core i5-12600K","79.7%","Alder Lake","10 / 16 (6+4)","3.7 / 4.9","125W / 150W"
"$460 - Ryzen 7 7800X3D","77.5%","Zen 4","8 / 16","4.2 / 5.0","120W / 162W"
"$210 - Core i5-14400","76.6%","Raptor Lake Refresh","10 / 16 (6+4)","2.5 / 4.7","65W / 148W"
"$300 - Ryzen 5 7600X3D","73.9%","Zen 4","6 / 12","4.1 / 4.7","65W / 88W"
"$220 - Ryzen 7 5700X3D","61.1%","Zen 3","8 / 16","3.0 / 4.1","105 / 142W"
